,LAKE_NAME,EcoRegion,ultraBlue,Blue,Green,Red,Date Aquired,dwPost,dwChroma,dwLehmann,s,sp,brightness,TriX,TriY,TriZ,x,y,z
111,Cedar,North_Central_Hardwood_Forests,0.0031975,0.00581,0.01032,0.003225,8/31/2022,525,525.2576352,559.4072176,0.10846247,-0.000703787,0.007086587,0.715,0.866,0.415,0.36,0.43,0.21
112,Cedar,North_Central_Hardwood_Forests,0.00339,0.0064975,0.01054,0.0035825,8/31/2022,521,520.5709511,558.2937859,0.104183327,-0.000675993,0.00744185,0.745,0.902,0.451,0.36,0.43,0.22
113,Cedar,North_Central_Hardwood_Forests,0.0035275,0.0057,0.0101275,0.003115,8/31/2022,525,524.8430823,558.329567,0.102594338,-0.000665684,0.006946449,0.704,0.849,0.430,0.35,0.43,0.22
114,Cedar,North_Central_Hardwood_Forests,0.0036375,0.0051775,0.009715,0.0027575,8/31/2022,526,526.4920473,557.7582592,0.100093426,-0.000649445,0.006552138,0.668,0.805,0.417,0.35,0.43,0.22
115,South_Center,North_Central_Hardwood_Forests,0.00810625,0.0143075,0.0370775,0.02072875,9/1/2022,556,555.9179456,572.9398089,0.134880949,-0.000876422,0.025878734,2.799,3.134,1.067,0.40,0.45,0.15
116,South_Center,North_Central_Hardwood_Forests,0.00812,0.01407375,0.0371875,0.0203025,9/1/2022,556,555.5526816,572.7842145,0.135380994,-0.000879643,0.025775777,2.789,3.128,1.060,0.40,0.45,0.15
117,South_Center,North_Central_Hardwood_Forests,0.008395,0.01423875,0.0372975,0.02011,9/1/2022,555,555.1511101,572.5668441,0.133780001,-0.000869204,0.025808639,2.792,3.136,1.082,0.40,0.45,0.15
118,South_Center,North_Central_Hardwood_Forests,0.00843625,0.01385375,0.03716,0.02037125,9/1/2022,556,555.8195681,572.9495332,0.134278916,-0.000872512,0.025740887,2.792,3.124,1.071,0.40,0.45,0.15
119,South_Center,North_Central_Hardwood_Forests,0.00854625,0.01467875,0.0371325,0.02055,9/1/2022,555,555.3759948,572.6333471,0.131928123,-0.000857183,0.025926761,2.803,3.143,1.106,0.40,0.45,0.16
120,Peltier,North_Central_Hardwood_Forests,0.00483375,0.0326775,0.082425,0.04531375,9/1/2022,555,555.173176,572.4915286,0.165075802,-0.001072526,0.057489233,6.057,6.953,1.638,0.41,0.47,0.11
